z_m,T_liq_C,visc_cP,U_W_m2K,w_meoh,w_dbe,w_bio,m_evap_seg_kg_s,power_seg_W,power_cum_W,m_liq_kg_s
0.0,110.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,3.633548048472634,0.1388888888888889
0.06,150.71504079052374,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,7.267096096945268,0.1388888888888889
0.12,170.70864974887235,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,10.900644145417903,0.1388888888888889
0.18,180.5267511536091,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,14.534192193890537,0.1388888888888889
0.24,184.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,18.16774024236317,0.1388888888888889
0.3,184.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.001413716694115407,3.633548048472634,21.801288290835803,0.13747517219477348
0.36,185.3985468599908,0.5,1500.0,0.04177325376475999,0.453085029838215,0.505141716397025,0.0,3.633548048472634,25.434836339308436,0.13747517219477348
0.42,185.3985468599908,0.5,1500.0,0.04177325376475999,0.453085029838215,0.505141716397025,0.0010841918535367937,3.633548048472634,29.06838438778107,0.1363909803412367
0.48,186.49074800716858,0.5,1500.0,0.035348541134302684,0.45549429707463646,0.5091571617910609,0.0,3.633548048472634,32.701932436253706,0.1363909803412367
0.54,186.49074800716858,0.5,1500.0,0.035348541134302684,0.45549429707463646,0.5091571617910609,0.0008268480210205905,3.633548048472634,36.33548048472634,0.1355641323202161
0.6,187.335446372138,0.5,1500.0,0.030379727222717694,0.4573576022914808,0.5122626704858014,0.00012841084958629912,3.633548048472634,39.96902853319897,0.1354357214706298
0.6599999999999999,187.467554673049,0.5,1500.0,0.02960261957030039,0.4576490176611374,0.5127483627685623,0.0005336475590271909,3.633548048472634,43.602576581671606,0.13490207391160264
0.72,188.0192624263599,0.5,1500.0,0.026357279844941604,0.45886602005814686,0.5147767000969116,0.00026749301259073043,3.633548048472634,47.23612463014424,0.13463458089901187
0.78,188.29745376529434,0.5,1500.0,0.024720860204151405,0.4594796774234432,0.5157994623724055,0.00033686831559621034,3.633548048472634,50.86967267861687,0.13429771258341566
0.84,188.6128118927914,0.5,1500.0,0.02265075500003605,0.46025596687498643,0.5170932781249775,0.000259980088526316,3.633548048472634,54.503220727089506,0.13403773249488934
0.8999999999999999,188.83912524478842,0.5,1500.0,0.0210460253022588,0.4608577405116529,0.5180962341860883,0.00022573340238985347,3.633548048472634,58.13676877556214,0.1338119990924995
0.96,189.03583582499118,0.5,1500.0,0.0196476260376027,0.46138214023589896,0.5189702337264983,0.0001857838836046911,3.633548048472634,61.77031682403477,0.1336262152088948
1.02,189.19921014013113,0.5,1500.0,0.018493166274195137,0.4618150626471768,0.5196917710786281,0.0001544055270313481,3.633548048472634,65.40386487250741,0.13347180968186345
1.08,189.33512273431046,0.5,1500.0,0.017531245916648307,0.46217578278125687,0.5202929713020948,0.00012821333255024704,3.633548048472634,69.03741292098005,0.1333435963493132
1.14,189.44813350571394,0.5,1500.0,0.016730805579600744,0.46247594790764973,0.5207932465127496,0.00010642713939001917,3.633548048472634,72.67096096945268,0.13323716920992318
1.2,189.54205176748218,0.5,1500.0,0.016065207104116293,0.4627255473359564,0.5212092455599274,8.831913486547867e-05,3.633548048472634,76.30450901792531,0.1331488500750577
1.26,189.62006728644417,0.5,1500.0,0.01551204874487197,0.462932981720673,0.521554969534455,7.327592143251996e-05,3.633548048472634,79.93805706639795,0.1330755741536252
1.3199999999999998,189.68484779886705,0.5,1500.0,0.015052551395779455,0.46310529322658267,0.5218421553776379,6.078385701693938e-05,3.633548048472634,83.57160511487058,0.13301479029660826
1.38,189.73862124936903,0.5,1500.0,0.014671004905953418,0.4632483731602674,0.5220806219337791,5.0413773848002943e-05,3.633548048472634,87.20515316334321,0.13296437652276025
1.44,189.78324592237658,0.5,1500.0,0.014354287841212832,0.46336714205954516,0.5222785700992421,4.18076111290758e-05,3.633548048472634,90.83870121181585,0.13292256891163118
